지역번호,지역명,일시,평균일강수량(mm),최다일강수량(mm),최다강수량지점,1시간최다강수량(mm),1시간최다강수량지점
0,전국,2022-06-11,0.8,26.3,제천,26.2,제천
0,전국,2022-06-10,0.2,5.6,백령도,4.4,인천
0,전국,2022-06-09,0.7,19.2,북춘천,19.2,북춘천
0,전국,2022-06-08,0.4,11.9,순창군,10.2,순창군
0,전국,2022-06-07,6.6,85.8,고창군,26,고창군
0,전국,2022-06-06,8.3,75.4,속초,25.9,동해
0,전국,2022-06-05,18.6,110.8,서귀포,28.1,서귀포
0,전국,2022-06-04,0,2.2,고산,1.9,고산
0,전국,2022-06-03,0,0,"속초,대관령,북강릉,장흥",0,"속초,대관령,북강릉,장흥"
0,전국,2022-06-02,0,,,,
0,전국,2022-06-01,0,0.1,백령도,0.1,백령도
0,전국,2022-05-31,0,0,"철원,백령도",0.1,정읍
0,전국,2022-05-30,0.5,5.1,완도,1.7,완도
0,전국,2022-05-29,0.1,21.8,서귀포,3.8,서귀포
0,전국,2022-05-28,0,,,,
0,전국,2022-05-27,0,0.5,인제,0.5,인제
0,전국,2022-05-26,1.3,6.5,청주,6.1,서청주
0,전국,2022-05-25,1.2,13.3,동두천,9.3,동두천
0,전국,2022-05-24,0,3.8,청송군,3.2,청송군
0,전국,2022-05-23,0,,,,
0,전국,2022-05-22,0,0,"속초,북강릉,울릉도",0,"속초,북강릉,울릉도"
0,전국,2022-05-21,0.2,6,남해,6,남해
0,전국,2022-05-20,0,1.8,완도,1.8,완도
0,전국,2022-05-19,0,,,,
0,전국,2022-05-18,0.1,2.4,인천,2.1,인천
0,전국,2022-05-17,0,0.5,"춘천,충주",0.5,"춘천,충주"
0,전국,2022-05-16,0,0,철원,,
0,전국,2022-05-15,0,,,,
0,전국,2022-05-14,0,0,"울릉도,북창원,양산시,봉화",0,"울릉도,북창원,양산시,봉화"
0,전국,2022-05-13,0.8,8.9,제주,4.1,안동
0,전국,2022-05-12,0,0.3,서귀포,0.3,서귀포
0,전국,2022-05-11,0,9.1,성산,3.6,성산
0,전국,2022-05-10,0,1,완도,0.9,완도
0,전국,2022-05-09,0.4,3.7,"세종,구미",3.1,구미
0,전국,2022-05-08,0.6,4,원주,1.9,"춘천,원주,홍천"
0,전국,2022-05-07,0.3,7.7,속초,2.9,속초
0,전국,2022-05-06,0,,,,
0,전국,2022-05-05,0,,,,
0,전국,2022-05-04,0,,,,
0,전국,2022-05-03,0,,,,
0,전국,2022-05-02,0.4,9.5,양산시,5.2,양산시
0,전국,2022-05-01,0,2.4,울릉도,2.4,울릉도
0,전국,2022-04-30,0,0.5,인제,0.5,인제
0,전국,2022-04-29,13.7,33.1,성산,13,성산
0,전국,2022-04-28,0,1.2,속초,0.9,흑산도
0,전국,2022-04-27,0,,,,
0,전국,2022-04-26,22.7,143.7,통영,74.9,통영
0,전국,2022-04-25,9.2,80.2,진도군,43.8,흑산도
0,전국,2022-04-24,0,1.5,강화,0.4,강화
0,전국,2022-04-23,0,1.7,서귀포,1.7,서귀포
0,전국,2022-04-22,0,0.1,"고창,거제",0.1,고창
0,전국,2022-04-21,1,8.1,여수,3.6,여수
0,전국,2022-04-20,0,0,세종,,
0,전국,2022-04-19,0,,,,
0,전국,2022-04-18,0,,,,
0,전국,2022-04-17,0,,,,
0,전국,2022-04-16,0,,,,
0,전국,2022-04-15,0,0.4,"양평,청송군",0.4,"양평,청송군"
0,전국,2022-04-14,1.7,11.5,홍성,3.5,충주
0,전국,2022-04-13,10,39.7,군산,15,정읍
0,전국,2022-04-12,0.2,3.9,철원,2.9,철원
0,전국,2022-04-11,0.1,2.6,거제,2.6,거제
0,전국,2022-04-10,0,,,,
0,전국,2022-04-09,0,1.3,수원,1.3,수원
0,전국,2022-04-08,0,,,,
0,전국,2022-04-07,0.6,4,금산,3.5,금산
0,전국,2022-04-06,0,,,,
0,전국,2022-04-05,0,,,,
0,전국,2022-04-04,0,,,,
0,전국,2022-04-03,0,,,,
0,전국,2022-04-02,0,0.1,영광군,0.1,영광군
0,전국,2022-04-01,0.1,6.1,남해,5.3,남해
0,전국,2022-03-31,1,11.2,동해,,
0,전국,2022-03-30,0.7,8,대관령,,
0,전국,2022-03-29,0,,,,
0,전국,2022-03-28,0,,,,
0,전국,2022-03-27,0,0,"속초,인천",,
0,전국,2022-03-26,27.7,99.8,남해,,
0,전국,2022-03-25,11.8,53.8,진도군,,
0,전국,2022-03-24,0,0.4,인제,,
0,전국,2022-03-23,0,2,제주,0.1,순창군
0,전국,2022-03-22,0,8.1,성산,,
0,전국,2022-03-21,0,19.1,성산,,
0,전국,2022-03-20,0.1,2,울릉도,,
0,전국,2022-03-19,10.4,36.7,강릉,,
0,전국,2022-03-18,6.9,43.4,성산,,
0,전국,2022-03-17,5.8,39.8,성산,,
0,전국,2022-03-16,0,1.2,목포,,
